open,high,low,close,volume,time,is_complete
295.02,295.77,294.56,295.08,166223,2021-12-27 05:00:00+00:00,True
295.18,295.25,294.51,294.8,99712,2021-12-27 06:00:00+00:00,True
294.77,295.66,294.22,295.0,446332,2021-12-27 07:00:00+00:00,True
295.1,296.0,294.43,295.17,573750,2021-12-27 08:00:00+00:00,True
295.16,295.6,294.76,294.97,243217,2021-12-27 09:00:00+00:00,True
294.97,295.2,294.36,294.98,197016,2021-12-27 10:00:00+00:00,True
294.98,295.09,293.65,294.44,261457,2021-12-27 11:00:00+00:00,True
294.52,295.0,293.9,293.97,167086,2021-12-27 12:00:00+00:00,True
293.97,294.32,293.37,293.7,235809,2021-12-27 13:00:00+00:00,True
293.64,294.89,293.41,294.61,369893,2021-12-27 14:00:00+00:00,True
294.69,295.43,294.26,295.03,386653,2021-12-27 15:00:00+00:00,True
295.04,295.3,294.65,294.99,689063,2021-12-27 16:00:00+00:00,True
294.99,295.2,294.86,295.2,52361,2021-12-27 17:00:00+00:00,True
295.2,295.25,295.0,295.15,40109,2021-12-27 18:00:00+00:00,True
295.1,295.45,295.02,295.12,68624,2021-12-27 19:00:00+00:00,True
295.02,295.75,294.92,295.68,104328,2021-12-27 20:00:00+00:00,True
295.84,296.4,295.58,296.24,163692,2021-12-28 04:00:00+00:00,True
296.69,296.86,295.77,296.39,623943,2021-12-28T05:00:00+00:00,True
296.67,296.76,295.73,295.73,168819,2021-12-28T06:00:00+00:00,True
296.04,296.38,296.02,296.14,293628,2021-12-28T07:00:00+00:00,True
296.38,297.28,295.7,297.24,43520,2021-12-28T08:00:00+00:00,True
297.47,297.74,296.98,297.49,674991,2021-12-28T09:00:00+00:00,True
297.61,298.46,296.81,298.4,591493,2021-12-28T10:00:00+00:00,True
298.77,299.33,298.04,299.05,137088,2021-12-28T11:00:00+00:00,True
299.34,299.51,298.42,299.4,204650,2021-12-28T12:00:00+00:00,True
299.81,300.23,298.92,299.39,205118,2021-12-28T13:00:00+00:00,True
298.91,299.77,298.22,298.83,429804,2021-12-28T14:00:00+00:00,True
298.45,298.74,297.58,298.6,550077,2021-12-28T15:00:00+00:00,True
298.58,299.2,298.19,298.85,632857,2021-12-28T16:00:00+00:00,True
299.07,299.75,298.19,298.75,663792,2021-12-28T17:00:00+00:00,True
298.54,299.22,298.53,298.78,639020,2021-12-28T18:00:00+00:00,True
299.05,299.29,298.59,298.61,153249,2021-12-28T19:00:00+00:00,True
298.91,299.78,298.91,299.68,139432,2021-12-28T20:00:00+00:00,True
299.48,299.89,299.44,299.68,410024,2021-12-28T21:00:00+00:00,True
299.72,300.41,299.63,299.71,654323,2021-12-28T22:00:00+00:00,True
300.2,300.79,299.79,299.79,221263,2021-12-28T23:00:00+00:00,True
